"","X","tss","roc"
"1",1,"0.848833333333333",0.973359523809524
"2",30,"LQHPT",2.5
"3",3,"-45.318",-6.231
"4",4,"-56.385",-26.453
"5",5,"-25.922",-2.147
"6",6,"-41.123",-14.176
"7",7,"-44.8",-19.247
"8",8,"-56.323",-32.239
"9",9,"-16.78",18.334
"10",10,"-30.302",-0.95
"11",11,"-37.829",-17.323
"12",12,"-38.988",-9.747
"13",13,"-34.571",-2.566
"14",14,"-51.08",-21.258
"15",15,"-43.43",0.049
"16",16,"-48.748",10.389
"17",17,"-38.507",-12.252
"18",18,"-47.773",-5.577
"19",19,"-47.045",-6.342
"20",20,"-57.483",29.192
