"","X","tss","roc"
"1",1,"0.75045641025641",0.914077564102564
"2",41,"LQHP",3.5
"3",3,"-0.365",11.208
"4",4,"-0.516",13.436
"5",5,"-1.239",5.601
"6",6,"-0.401",10.549
"7",7,"-0.566",10.671
"8",8,"-0.401",17.067
"9",9,"-0.344",6.746
"10",10,"-0.122",12.963
"11",11,"-0.179",13.407
"12",12,"-0.208",18.227
"13",13,"-1.697",4.927
"14",14,"-1.11",7.019
"15",15,"-0.716",12.834
"16",16,"-1.361",9.776
"17",17,"-1.103",6.703
"18",18,"-0.473",10.564
"19",19,"-0.344",13.235
"20",20,"-0.731",13.901
