"","X","tss","roc"
"1",1,"0.648368965517241",0.879774137931034
"2",2,"L",0.5
"3",3,"-2.022",73.884
"4",4,"-0.399",108.424
"5",5,"-1.838",52.561
"6",6,"-2.542",54.141
"7",7,"-5.133",45.477
"8",8,"-4.139",82.728
"9",9,"-2.527",28.842
"10",10,"-4.648",34.126
"11",11,"-4.164",39.556
"12",12,"-3.521",68.723
"13",13,"-11.093",14.596
"14",14,"-1.414",85.91
"15",15,"-3.744",52.017
"16",16,"-3.234",89.636
"17",17,"-3.86",43.215
"18",18,"-1.106",78.239
"19",19,"-1.746",71.473
"20",20,"-1.174",114.14
