"","X","tss","roc"
"1",1,"0.9702",0.998462162162162
"2",34,"LQH",3
"3",3,"-16.941",-1.299
"4",4,"-25.256",-5.552
"5",5,"-3.086",25.995
"6",6,"-9.114",34.763
"7",7,"-14.379",34.87
"8",8,"-16.917",59.4
"9",9,"-5.301",3.157
"10",10,"-7.267",3.479
"11",11,"-6.505",5.373
"12",12,"-14.046",1.751
"13",13,"-10.567",-2.156
"14",14,"-17.644",0.751
"15",15,"-12.449",-4.051
"16",16,"-33.607",-17.977
"17",17,"-5.528",16.44
"18",18,"-8.673",22.588
"19",19,"-10.615",25.506
"20",20,"-28.616",8.173
