"","X","tss","roc"
"1",1,"0.779220304568528",0.949885786802031
"2",36,"LQHPT",3
"3",3,"-39.442",-22.412
"4",4,"-52.994",-39.491
"5",5,"-21.661",-1.612
"6",6,"-28.17",-9.673
"7",7,"-29.127",-12.836
"8",8,"-38.364",-18.145
"9",9,"-20.4",-4.873
"10",10,"-35.345",-22.836
"11",11,"-31.733",-17.261
"12",12,"-41.297",-25.43
"13",13,"-32.594",-13.188
"14",14,"-42.691",-32.376
"15",15,"-41.77",-27.285
"16",16,"-44.788",-23.733
"17",17,"-33.091",-20.242
"18",18,"-39.418",-24.388
"19",19,"-45.552",-31.467
"20",20,"-54.291",-35.661
