"","X","tss","roc"
"1",1,"0.8941",0.9424625
"2",26,"LQ",2.5
"3",3,"-12.114",17.949
"4",4,"-13.267",32.789
"5",5,"-4.875",8.021
"6",6,"-7.239",11.634
"7",7,"-14.039",8.716
"8",8,"-11.305",25.143
"9",9,"-1.518",16.184
"10",10,"-1.939",30.1
"11",11,"-3.809",20.492
"12",12,"-4.998",33.731
"13",13,"-9.526",12.937
"14",14,"-17.446",17.378
"15",15,"-7.418",26.245
"16",16,"-18.69",41.199
"17",17,"-5.113",15.219
"18",18,"-12.539",20.524
"19",19,"-11.364",17.895
"20",20,"-23.41",22.481
