"","X","tss","roc"
"1",1,"0.754105263157895",0.940936842105263
"2",29,"LQHP",2.5
"3",3,"-7.797",30.725
"4",4,"-9.898",44.185
"5",5,"-5.769",8.497
"6",6,"-6.6",16.853
"7",7,"-8.661",17.02
"8",8,"-7.155",27.356
"9",9,"-2.377",16.129
"10",10,"-2.348",33.4
"11",11,"-4.585",22.504
"12",12,"-4.543",35.335
"13",13,"-5.751",29.45
"14",14,"-7.941",40.804
"15",15,"-6.604",39.684
"16",16,"-7.961",59.816
"17",17,"-3.001",32.287
"18",18,"-4.494",44.518
"19",19,"-4.272",43.634
"20",20,"-6.806",58.694
