"","X","tss","roc"
"1",1,"0.70485",0.915709375
"2",47,"LQHP",4
"3",4,"-14.942",25.013
"4",5,"-23.639",29.245
"5",6,"-6.55",22.403
"6",7,"-11.288",25.529
"7",8,"-13.031",25.78
"8",9,"-18.23",29.917
"9",10,"-5.246",17.377
"10",11,"-8.35",22.683
"11",12,"-9.451",22.666
"12",13,"-14.364",30.018
"13",14,"-9.857",20.866
"14",15,"-20.225",25.056
"15",16,"-14.253",22.503
"16",17,"-27.928",26.758
"17",18,"-9.951",29.565
"18",19,"-15.563",33.243
"19",20,"-16.946",32.798
"20",21,"-25.65",39.487
