"","X","tss","roc"
"1",1,"0.9881",0.996678571428571
"2",40,"LQH",3.5
"3",3,"-32.945",-5.588
"4",4,"-41.56",-4.075
"5",5,"-3.609",33.993
"6",6,"-18.51",11.641
"7",7,"-21.071",5.937
"8",8,"-37.718",-9.43
"9",9,"-8.149",27.823
"10",10,"-19.79",16.647
"11",11,"-19.558",23.05
"12",12,"-22.235",40.163
"13",13,"-38.882",-16.88
"14",14,"-34.226",5.006
"15",15,"-16.414",26.775
"16",16,"-28.754",30.733
"17",17,"-21.537",7.8
"18",18,"-27.707",11.641
"19",19,"-32.945",8.964
"20",20,"-38.533",10.827
