"","X","tss","roc"
"1",1,"0.873357142857143",0.96747
"2",20,"LQ",2
"3",3,"-53.552",-32.473
"4",4,"-77.841",-52.002
"5",5,"-22.605",10.373
"6",6,"-26.246",13.618
"7",7,"-48.139",-9.845
"8",8,"-55.827",-9.085
"9",9,"-20.734",0.936
"10",10,"-30.567",-5.288
"11",11,"-34.763",-15.9
"12",12,"-53.114",-26.903
"13",13,"-52.609",-43.95
"14",14,"-73.332",-56.911
"15",15,"-68.783",-59.338
"16",16,"-79.904",-65.107
"17",17,"-38.353",-11.305
"18",18,"-66.834",-42.897
"19",19,"-69.472",-46.671
"20",201,"-79.645",-52.445
