"","X","tss","roc"
"1",1,"0.855064705882353",0.970313235294118
"2",32,"LQ",3
"3",3,"-60.836",-18.941
"4",4,"-84.317",-22.485
"5",5,"-24.297",29.947
"6",6,"-36.816",32.902
"7",7,"-54.829",12.166
"8",8,"-63.385",37.914
"9",9,"-21.048",13.3
"10",10,"-34.053",13.251
"11",11,"-37.606",8.279
"12",12,"-59.564",0.223
"13",13,"-53.776",-34.263
"14",14,"-80.162",-37.972
"15",15,"-72.583",-41.895
"16",16,"-85.714",-45.747
"17",17,"-43.712",5.842
"18",18,"-68.312",-13.514
"19",19,"-72.249",-18.156
"20",20,"-85.874",-12.269
