"","X","tss","roc"
"1",1,"0.766290909090909",0.939872727272727
"2",33,"H",3
"3",3,"-32.001",-15.115
"4",4,"-32.337",-5.391
"5",5,"-19.28",-11.185
"6",6,"-17.273",-6.953
"7",7,"-23.117",-6.289
"8",8,"-25.418",-4.946
"9",9,"-5.29",11.403
"10",10,"-4.173",19.061
"11",11,"-5.114",22.941
"12",12,"-6.466",33.017
"13",13,"-33.168",-25.964
"14",14,"-32.522",-17.13
"15",15,"-30.086",-23.041
"16",16,"-28.667",-6.155
"17",17,"-4.115",19.338
"18",18,"-15.005",8.464
"19",19,"-12.671",17.004
"20",20,"-26.938",5.97
