"","X","tss","roc"
"1",1,"0.760887878787879",0.93479696969697
"2",8,"LQ",1
"3",3,"-23.693",28.438
"4",4,"-27.362",70.846
"5",5,"-13.872",16.148
"6",6,"-19.31",18.399
"7",7,"-16.79",19.775
"8",81,"-19.113",54.803
"9",9,"-14.68",1.971
"10",10,"-16.858",16.36
"11",11,"-14.887",29.518
"12",12,"-22.643",44.569
"13",13,"-23.014",15.812
"14",14,"-20.914",82.097
"15",15,"-21.332",41.262
"16",16,"-25.389",87.06
"17",17,"-19.58",20.761
"18",18,"-21.177",54.465
"19",19,"-20.28",66.498
"20",20,"-26.396",103.108
