"","X","tss","roc"
"1",1,"0.847461904761905",0.959120238095238
"2",29,"LQHP",2.5
"3",3,"-34.725",171.25
"4",4,"-48.846",217.967
"5",5,"-12.17",90.247
"6",6,"-18.929",164.162
"7",7,"-39.78",127.596
"8",8,"-34.354",338.365
"9",9,"-19.341",57.692
"10",10,"-37.459",65.398
"11",11,"-35.44",84.588
"12",12,"-49.341",176.662
"13",13,"-47.582",9.684
"14",14,"-52.953",113.104
"15",15,"-51.181",69.478
"16",16,"-62.06",177.5
"17",17,"-22.253",101.374
"18",18,"-37.679",154.602
"19",19,"-37.473",171.058
"20",20,"-55",252.885
