"","X","tss","roc"
"1",1,"0.771564935064935",0.934822077922078
"2",48,"LQHPT",4
"3",3,"-29.008",-2.025
"4",4,"-44.001",-18.389
"5",5,"-14.828",2.929
"6",6,"-16.314",9.755
"7",7,"-24.121",-3.5
"8",8,"-29.24",-5.5
"9",9,"-9.301",5.102
"10",10,"-12.478",14.686
"11",11,"-17.951",-1.802
"12",12,"-21.186",0.236
"13",13,"-22.473",-1.137
"14",14,"-42.96",-18.403
"15",15,"-31.279",-7.709
"16",16,"-47.38",-19.528
"17",17,"-14.933",5.044
"18",18,"-24.632",-2.831
"19",19,"-27.963",-8.297
"20",20,"-43.976",-16.981
