"","X","tss","roc"
"1",1,"0.801241935483871",0.943533870967742
"2",27,"H",2.5
"3",3,"-29.466",-23.791
"4",4,"-33.545",-26.433
"5",5,"-14.116",-7.372
"6",6,"-17.711",-10.036
"7",7,"-30.578",-26.65
"8",8,"-28.708",-22.238
"9",9,"-5.639",2.101
"10",10,"-6",3.805
"11",11,"-14.982",-11.394
"12",12,"-11.206",-2.022
"13",13,"-23.653",-13.314
"14",14,"-37.957",-27.249
"15",15,"-29.668",-22.26
"16",16,"-29.119",-17.314
"17",17,"-12.549",-4.282
"18",18,"-22.347",-14.455
"19",19,"-27.372",-20.527
"20",20,"-36.556",-28.563
