"","X","tss","roc"
"1",1,"0.872352941176471",0.977511764705882
"2",44,"LQ",4
"3",3,"-4.286",84.541
"4",4,"-9.541",142.194
"5",5,"-3.469",92.143
"6",6,"-13.622",77.143
"7",7,"-10.255",95.102
"8",8,"-3.316",164.235
"9",9,"-2.755",49.592
"10",10,"-4.388",61.48
"11",11,"-2.959",91.735
"12",12,"-2.908",121.327
"13",13,"-12.602",45.561
"14",14,"-6.122",158.776
"15",15,"-9.643",65.459
"16",16,"-8.01",180.153
"17",17,"-5",107.245
"18",18,"-3.01",182.5
"19",19,"-4.592",161.531
"20",20,"-4.847",297.908
