"","X","tss","roc"
"1",1,"0.887680952380952",0.97982380952381
"2",16,"LQH",1.5
"3",3,"-65.373",-54.535
"4",4,"-78.861",-59.123
"5",5,"-20.441",14.803
"6",6,"-29.42",20.589
"7",7,"-58.845",-20.838
"8",8,"-64.211",-22.2
"9",9,"-31.972",-23.708
"10",10,"-41.716",-30.934
"11",11,"-51.341",-39.204
"12",12,"-63.456",-47.462
"13",13,"-61.914",-54.852
"14",14,"-72.316",-59.503
"15",15,"-70.325",-63.201
"16",161,"-79.712",-64.506
"17",17,"-53.049",-31.683
"18",18,"-68.567",-49.402
"19",19,"-67.517",-48.046
"20",20,"-78.765",-54.864
