"","X","tss","roc"
"1",1,"0.873684210526316",0.973713157894737
"2",41,"LQHP",3.5
"3",3,"-49.814",-47.262
"4",4,"-74.39",-73.455
"5",5,"-30.493",-29.599
"6",6,"-38.481",-36.913
"7",7,"-41.254",-38.752
"8",8,"-56.485",-54.747
"9",9,"-30.152",-29.619
"10",10,"-39.737",-38.622
"11",11,"-45.132",-44.298
"12",12,"-58.927",-58.405
"13",13,"-33.086",-30.523
"14",14,"-56.395",-53.974
"15",15,"-54.245",-52.909
"16",16,"-79.232",-78.961
"17",17,"-36.049",-34.743
"18",18,"-54.486",-53.933
"19",19,"-55.712",-55.069
"20",20,"-77.826",-76.138
