"","X","tss","roc"
"1",1,"0.917676923076923",0.987819230769231
"2",22,"LQH",2
"3",3,"-35.409",-30.012
"4",4,"-56.228",-50.593
"5",5,"-25.386",-20.819
"6",6,"-34.223",-25.801
"7",7,"-43.713",-34.638
"8",8,"-44.128",-34.282
"9",9,"-17.616",-14.709
"10",10,"-21.352",-15.658
"11",11,"-30.783",-27.343
"12",12,"-36.892",-33.867
"13",13,"-28.351",-11.388
"14",14,"-40.214",-37.426
"15",15,"-39.917",-26.038
"16",16,"-47.272",-32.028
"17",17,"-29.3",-22.005
"18",18,"-43.06",-39.561
"19",19,"-39.146",-34.46
"20",20,"-56.465",-52.135
