"","X","tss","roc"
"1",1,"0.757009589041096",0.937379452054795
"2",30,"LQHPT",2.5
"3",3,"-10.208",127.689
"4",4,"-11.2",180.506
"5",5,"-5.181",78.054
"6",6,"-9.516",99.385
"7",7,"-6.373",104.482
"8",8,"-7.941",171.051
"9",9,"-7.203",45.661
"10",10,"-15.943",72.065
"11",11,"-12.499",73.088
"12",12,"-13.529",130.095
"13",13,"-13.375",64.117
"14",14,"-15.22",116.204
"15",15,"-16.658",101.952
"16",16,"-16.15",173.818
"17",17,"-7.541",91.637
"18",18,"-9.909",133.308
"19",19,"-10.608",130.041
"20",20,"-9.555",207.741
