"","X","tss","roc"
"1",1,"0.702876923076923",0.920356923076923
"2",20,"LQ",2
"3",3,"-13.703",42.999
"4",4,"-22.893",45.937
"5",5,"-7.484",28.726
"6",6,"-7.74",36.715
"7",7,"-11.172",30.29
"8",8,"-11.536",53.802
"9",9,"-6.507",15.68
"10",10,"-12.242",18.504
"11",11,"-12.264",14.186
"12",12,"-15.799",26.885
"13",13,"-8.695",23.767
"14",14,"-20.856",20.617
"15",15,"-14.675",19.069
"16",16,"-22.963",33.565
"17",17,"-9.407",24.967
"18",18,"-18.477",27.732
"19",19,"-15.517",33.006
"20",201,"-24.625",44.308
