"","X","tss","roc"
"1",1,"0.6455",0.859408333333333
"2",13,"L",1.5
"3",3,"-2.934",95.083
"4",4,"-2.654",152.301
"5",5,"-2.48",48.02
"6",6,"-2.037",77.405
"7",7,"-3.993",77.304
"8",8,"-2.411",128.045
"9",9,"-1.124",42.378
"10",10,"-0.98",61.02
"11",11,"-1.072",73.653
"12",12,"-1.472",117.929
"13",131,"-10.052",27.275
"14",14,"-3.993",91.898
"15",15,"-5.988",60.936
"16",16,"-6.233",116.753
"17",17,"-1.883",71.82
"18",18,"-1.234",114.155
"19",19,"-1.595",114.909
"20",20,"-1.876",185.076
