"","X","tss","roc"
"1",1,"0.899621739130435",0.98554347826087
"2",34,"LQH",3
"3",3,"-72.126",-68.121
"4",4,"-90.864",-86.769
"5",5,"-36.581",-34.937
"6",6,"-52.78",-48.471
"7",7,"-56.535",-53.585
"8",8,"-73.091",-67.871
"9",9,"-32.004",-31.021
"10",10,"-50.116",-49.169
"11",11,"-60.021",-59.396
"12",12,"-75.594",-75.398
"13",13,"-51.189",-46.093
"14",14,"-77.204",-70.249
"15",15,"-75.791",-70.016
"16",16,"-91.615",-86.358
"17",17,"-52.566",-48.418
"18",18,"-78.527",-74.128
"19",19,"-79.367",-75.577
"20",20,"-94.976",-83.158
