"","X","tss","roc"
"1",1,"0.72873063583815",0.937784971098266
"2",40,"LQH",3.5
"3",3,"-55.433",-55.346
"4",4,"-68.393",-67.731
"5",5,"-38.617",-38.15
"6",6,"-48.87",-48.715
"7",7,"-52.347",-52.152
"8",8,"-63.165",-62.96
"9",9,"-30.253",-29.455
"10",10,"-48.277",-47.936
"11",11,"-45.579",-45.083
"12",12,"-56.845",-56.592
"13",13,"-40.555",-39.357
"14",14,"-60.662",-60.574
"15",15,"-59.718",-59.581
"16",16,"-66.826",-66.407
"17",17,"-48.676",-48.384
"18",18,"-60.36",-60.195
"19",19,"-63.009",-62.814
"20",20,"-73.408",-72.132
