"","X","tss","roc"
"1",1,"0.6148",0.856056
"2",26,"LQ",2.5
"3",3,"-14.098",8.881
"4",4,"-18.283",10.044
"5",5,"-12.136",13.435
"6",6,"-22.809",-1.203
"7",7,"-19.247",1.928
"8",8,"-22.768",7.931
"9",9,"-8.676",10.317
"10",10,"-21.031",-7.09
"11",11,"-16.156",2.489
"12",12,"-18.693",7.746
"13",13,"-9.593",14.83
"14",14,"-17.421",4.458
"15",15,"-19.069",-5.818
"16",16,"-17.77",11.261
"17",17,"-12.238",16.327
"18",18,"-19.417",4.383
"19",19,"-22.658",-3.788
"20",20,"-20.997",9.75
