"","X","tss","roc"
"1",1,"0.770773254835997",0.954379310344828
"2",36,"LQHPT",3
"3",3,"-41.827",-40.812
"4",4,"-64.442",-62.467
"5",5,"-19.503",-17.132
"6",6,"-34.379",-32.844
"7",7,"-37.643",-36.241
"8",8,"-55.58",-54.538
"9",9,"-16.6",-15.532
"10",10,"-29.859",-28.977
"11",11,"-33.178",-32.4
"12",12,"-53.087",-52.504
"13",13,"-19.614",-15.969
"14",14,"-45.798",-44.943
"15",15,"-36.586",-34.206
"16",16,"-61.716",-60.167
"17",17,"-28.941",-26.918
"18",18,"-47.166",-46.246
"19",19,"-51.19",-50.204
"20",20,"-70.833",-69.78
