"","X","tss","roc"
"1",1,"0.700971641791045",0.913602985074627
"2",14,"LQ",1.5
"3",3,"-26.246",-23.728
"4",4,"-46.914",-45.199
"5",5,"-14.842",-10.138
"6",6,"-25.718",-21.565
"7",7,"-28.497",-24.633
"8",8,"-36.269",-33.23
"9",9,"-11.361",-8.611
"10",10,"-17.295",-14.01
"11",11,"-16.832",-13.026
"12",12,"-29.713",-26.825
"13",13,"-12.693",-7.179
"14",141,"-37.289",-36.399
"15",15,"-28.49",-27.202
"16",16,"-46.451",-45.365
"17",17,"-21.55",-18.192
"18",18,"-39.735",-37.875
"19",19,"-41.479",-39.504
"20",20,"-53.246",-52.023
