"","X","tss","roc"
"1",1,"0.8694",0.979425
"2",46,"LQH",4
"3",3,"-26.609",-14.509
"4",4,"-36.56",-20.235
"5",5,"-14.661",0.517
"6",6,"-20.776",2.673
"7",7,"-24.888",-1.86
"8",8,"-30.239",-2.052
"9",9,"-14.584",-8.605
"10",10,"-22.124",-14.414
"11",11,"-23.229",-16.356
"12",12,"-32.408",-23.304
"13",13,"-20.038",-13.57
"14",14,"-30.462",-15.571
"15",15,"-29.693",-20.703
"16",16,"-39.9",-25.548
"17",17,"-21.735",-13.075
"18",18,"-29.547",-17.131
"19",19,"-32.583",-19.073
"20",20,"-41.968",-22.809
