"","X","tss","roc"
"1",1,"0.9458",0.9950475
"2",47,"LQHP",4
"3",3,"-33.074",-27.033
"4",4,"-42.145",-36.483
"5",5,"-25.698",-20.913
"6",6,"-28.708",-24.641
"7",7,"-41.507",-36.802
"8",8,"-45.993",-42.464
"9",9,"-26.336",-21.172
"10",10,"-29.805",-26.176
"11",11,"-33.194",-30.044
"12",12,"-40.869",-37.699
"13",13,"-42.364",-33.533
"14",14,"-46.651",-43.66
"15",15,"-45.395",-37.002
"16",16,"-49.96",-47.049
"17",17,"-27.771",-18.9
"18",18,"-34.629",-30.702
"19",19,"-38.317",-34.769
"20",20,"-49.781",-45.435
