"","X","tss","roc"
"1",1,"0.782",0.934844
"2",28,"LQH",2.5
"3",3,"-35.499",-8.161
"4",4,"-47.636",-20.087
"5",5,"-16.41",-7.416
"6",6,"-20.691",-2.318
"7",7,"-31.307",-12.293
"8",8,"-37.027",-12.488
"9",9,"-8.836",3.772
"10",10,"-12.051",10.933
"11",11,"-16.338",2.762
"12",12,"-23.367",2.83
"13",13,"-23.962",-6.364
"14",14,"-44.444",-23.93
"15",15,"-35.637",-12.569
"16",16,"-49.093",-20.689
"17",17,"-17.996",-0.541
"18",18,"-33.474",-7.77
"19",19,"-32.647",-8.596
"20",20,"-48.821",-16.537
