"","X","tss","roc"
"1",1,"0.75271038961039",0.938876623376623
"2",28,"LQH",2.5
"3",3,"-10.907",19.866
"4",4,"-15.071",18.632
"5",5,"-6.332",9.36
"6",6,"-7.146",12.393
"7",7,"-11",8.166
"8",8,"-11.414",18.355
"9",9,"-3.501",11.959
"10",10,"-4.244",24.772
"11",11,"-7.634",12.986
"12",12,"-7.345",25.589
"13",13,"-10.927",14.044
"14",14,"-15.17",10.666
"15",15,"-11.26",17.211
"16",16,"-18.712",17.638
"17",17,"-6.419",18.578
"18",18,"-10.503",21.717
"19",19,"-10.313",20.246
"20",20,"-18.388",21.426
