"","X","tss","roc"
"1",1,"0.799484210526316",0.928090789473684
"2",41,"LQHP",3.5
"3",3,"-9.052",20.822
"4",4,"-9.844",38.1
"5",5,"-6.396",9.026
"6",6,"-7.653",18.58
"7",7,"-8.543",18.456
"8",8,"-9.869",38.821
"9",9,"-3.422",11.566
"10",10,"-4.224",19.108
"11",11,"-5.229",16.206
"12",12,"-6.837",32.798
"13",13,"-11.879",-0.985
"14",14,"-14.36",17.089
"15",15,"-11.519",10.076
"16",16,"-13.621",36.449
"17",17,"-6.151",17.012
"18",18,"-7.745",25.662
"19",19,"-9.846",24.105
"20",20,"-10.573",49.154
