"","X","tss","roc"
"1",1,"0.940245945945946",0.990290540540541
"2",15,"H",1.5
"3",3,"-32.93",3.8
"4",4,"-42.236",-16.85
"5",5,"-18.833",11.289
"6",6,"-39.152",-23.568
"7",7,"-18.282",7.269
"8",8,"-31.278",7.819
"9",9,"-2.258",12.335
"10",10,"-7.434",12.83
"11",11,"-2.588",20.43
"12",12,"-3.579",26.762
"13",13,"-48.568",12.17
"14",14,"-40.584",-16.355
"15",151,"-22.137",17.786
"16",16,"-56.498",14.758
"17",17,"-47.632",-26.377
"18",18,"-36.839",4.956
"19",19,"-47.522",-23.238
"20",20,"-58.921",-1.927
