"","X","tss","roc"
"1",1,"0.752984848484848",0.946042424242424
"2",40,"LQH",3.5
"3",3,"-26.56",66.422
"4",4,"-29.083",91.477
"5",5,"-19.363",25.378
"6",6,"-21.097",45.641
"7",7,"-22.76",66.651
"8",8,"-26.162",132.141
"9",9,"-5.697",53.151
"10",10,"-7.137",84.929
"11",11,"-8.258",92.271
"12",12,"-12.86",155.917
"13",13,"-28.799",20.699
"14",14,"-35.657",33.475
"15",15,"-25.599",45.738
"16",16,"-33.236",88.45
"17",17,"-13.942",71.293
"18",18,"-21.989",98.89
"19",19,"-19.592",97.853
"20",20,"-28.112",140.036
