"","X","tss","roc"
"1",1,"0.8272",0.953562
"2",47,"LQHP",4
"3",3,"-31.878",19.77
"4",4,"-37.563",41.982
"5",5,"-4.38",22.07
"6",6,"-24.68",16.746
"7",7,"-33.919",13.348
"8",8,"-30.572",26.838
"9",9,"-8.567",23.491
"10",10,"-10.131",32.989
"11",11,"-13.826",31.748
"12",12,"-21.437",51.738
"13",13,"-28.298",-9.019
"14",14,"-29.409",10.531
"15",15,"-23.194",4.109
"16",16,"-51.247",-5.272
"17",17,"-15.415",35.664
"18",18,"-25.533",38.351
"19",19,"-26.347",30.792
"20",20,"-49.89",28.247
