"","X","tss","roc"
"1",1,"0.772657142857143",0.937417142857143
"2",36,"LQHPT",3
"3",3,"-25.625",3.551
"4",4,"-35.937",-11.154
"5",5,"-12.449",13.02
"6",6,"-15.869",21.649
"7",7,"-23.742",9.162
"8",8,"-26.182",23.203
"9",9,"-10.997",7.985
"10",10,"-15.363",11.304
"11",11,"-16.298",7.844
"12",12,"-23.41",11.622
"13",13,"-24.359",-8.76
"14",14,"-36.482",-20.475
"15",15,"-29.339",-14.97
"16",16,"-39.027",-18.608
"17",17,"-16.719",14.063
"18",18,"-25.27",8.583
"19",19,"-24.558",6.524
"20",20,"-36.427",-5.239
