"","X","tss","roc"
"1",1,"0.851826829268293",0.973146951219512
"2",36,"LQHPT",3
"3",3,"-61.866",-54.755
"4",4,"-78.518",-76.673
"5",5,"-29.268",-19.277
"6",6,"-48.335",-42.364
"7",7,"-51.395",-42.499
"8",8,"-65.137",-61.551
"9",9,"-24.647",-14.416
"10",10,"-40.129",-26.073
"11",11,"-44.869",-37.579
"12",12,"-55.176",-45.35
"13",13,"-36.394",-16.067
"14",14,"-63.396",-58.956
"15",15,"-58.206",-50.225
"16",16,"-75.218",-69.802
"17",17,"-39.259",-31.953
"18",18,"-54.305",-47.405
"19",19,"-58.881",-49.76
"20",20,"-73.297",-66.922
