"","X","tss","roc"
"1",1,"0.763357142857143",0.957319642857143
"2",48,"LQHPT",4
"3",3,"-48.083",-34.675
"4",4,"-62.045",-48.332
"5",5,"-30.413",-18.176
"6",6,"-39.682",-25.753
"7",7,"-43.715",-30.393
"8",8,"-50.286",-29.424
"9",9,"-27.261",-19.326
"10",10,"-37.104",-26.252
"11",11,"-38.346",-28.251
"12",12,"-50.678",-40.639
"13",13,"-31.211",-19.931
"14",14,"-50.424",-32.792
"15",15,"-47.909",-39.274
"16",16,"-59.484",-46.245
"17",17,"-38.363",-25.617
"18",18,"-50.767",-37.094
"19",19,"-53.709",-39.526
"20",20,"-64.094",-51.59
