"","X","tss","roc"
"1",1,"0.945069300225734",0.993192663656885
"2",36,"LQHPT",3
"3",3,"-61.417",-53.806
"4",4,"-79.972",-75.658
"5",5,"-43.353",-35.847
"6",6,"-58.611",-51.841
"7",7,"-57.91",-51.947
"8",8,"-72.817",-69.099
"9",9,"-36.128",-28.516
"10",10,"-55.314",-48.93
"11",11,"-58.225",-50.579
"12",12,"-72.115",-68.502
"13",13,"-38.232",-24.237
"14",14,"-63.942",-58.997
"15",15,"-57.173",-48.93
"16",16,"-79.376",-76.535
"17",17,"-47.597",-36.934
"18",18,"-65.345",-59.874
"19",19,"-70.361",-65.345
"20",20,"-83.409",-81.34
