"","X","tss","roc"
"1",1,"0.815583673469388",0.966917346938776
"2",48,"LQHPT",4
"3",3,"-15.161",37.489
"4",4,"-18.35",57.728
"5",5,"-11.966",13.879
"6",6,"-15.818",22.081
"7",7,"-16.135",23.078
"8",8,"-19.837",31.986
"9",9,"-8.023",15.054
"10",10,"-11.744",20.597
"11",11,"-11.033",25.775
"12",12,"-13.142",37.539
"13",13,"-11.62",24.908
"14",14,"-14.332",45.741
"15",15,"-13.891",34.37
"16",16,"-18.309",54.137
"17",17,"-13.603",27.426
"18",18,"-14.498",35.764
"19",19,"-16.893",36.324
"20",20,"-20.022",48.34
