"","X","tss","roc"
"1",1,"0.753686956521739",0.948919701086957
"2",36,"LQHPT",3
"3",3,"-28.495",-4.557
"4",4,"-44.193",-21.003
"5",5,"-17.75",-2.631
"6",6,"-25.494",-7.493
"7",7,"-27.756",-10.635
"8",8,"-38.496",-19.716
"9",9,"-14.926",-1.247
"10",10,"-21.64",-5.664
"11",11,"-22.955",-5.595
"12",12,"-35.65",-18.706
"13",13,"-19.891",0.957
"14",14,"-33.465",-12.904
"15",15,"-28.926",-11.307
"16",16,"-43.2",-21.828
"17",17,"-25.417",-8.077
"18",18,"-32.459",-14.85
"19",19,"-34.814",-16.986
"20",20,"-50.23",-32.655
