"","X","tss","roc"
"1",1,"0.803098245614035",0.959273684210526
"2",18,"LQHPT",1.5
"3",3,"-46.915",-27.107
"4",4,"-58.518",-33.906
"5",5,"-27.089",-9.845
"6",6,"-41.737",-23.134
"7",7,"-43.601",-25.987
"8",8,"-54.821",-34.889
"9",9,"-24.584",-11.562
"10",10,"-36.435",-20.614
"11",11,"-39.233",-24.4
"12",12,"-52.105",-34.379
"13",13,"-31.305",-12.518
"14",14,"-50.96",-30.916
"15",15,"-44.519",-25.996
"16",16,"-57.482",-32.49
"17",17,"-40.86",-24.466
"18",181,"-50.163",-32.453
"19",19,"-52.83",-34.037
"20",20,"-61.542",-36.308
