"","X","tss","roc"
"1",1,"0.6478",0.902771176470588
"2",2,"LQ",0.5
"3",3,"-2.066",68.066
"4",4,"-2.559",105.14
"5",5,"-4.183",32.427
"6",6,"-2.197",59.461
"7",7,"-1.602",58.881
"8",8,"-3.639",77.969
"9",9,"-3.038",33.703
"10",10,"-2.487",49.986
"11",11,"-3.871",51.203
"12",12,"-2.856",84.827
"13",13,"-2.088",60.584
"14",14,"-1.298",101.798
"15",15,"-2.806",70.661
"16",16,"-3.748",102.755
"17",17,"-1.82",70.531
"18",18,"-2.059",104.052
"19",19,"-2.233",108.33
"20",20,"-3.473",135.892
