"","X","tss","roc"
"1",1,"0.623572563718141",0.906973463268366
"2",18,"LQHPT",1.5
"3",3,"-47.591",-31.564
"4",4,"-55.959",-41.239
"5",5,"-32.949",-17.498
"6",6,"-43.567",-31.322
"7",7,"-44.711",-31.361
"8",8,"-53.647",-37.978
"9",9,"-33.572",-23.974
"10",10,"-41.901",-30.521
"11",11,"-45.388",-33.915
"12",12,"-52.401",-41.122
"13",13,"-37.806",-19.506
"14",14,"-50.518",-36.328
"15",15,"-47.793",-32.233
"16",16,"-54.752",-34.234
"17",17,"-38.85",-20.09
"18",181,"-47.536",-31.898
"19",19,"-52.222",-37.394
"20",20,"-58.146",-40.936
