"","X","tss","roc"
"1",1,"0.712754545454545",0.927496590909091
"2",42,"LQHPT",3.5
"3",3,"-20.714",47.217
"4",4,"-30.723",58.008
"5",5,"-9.569",13.253
"6",6,"-13.52",26.765
"7",7,"-17.2",36.588
"8",8,"-26.717",49.581
"9",9,"-6.707",29.046
"10",10,"-8.481",47.585
"11",11,"-12.319",49.377
"12",12,"-20.983",69.453
"13",13,"-13.151",31.625
"14",14,"-24.834",58.324
"15",15,"-20.269",43.991
"16",16,"-33.951",58.39
"17",17,"-7.547",49.592
"18",18,"-14.644",69.565
"19",19,"-14.171",73.157
"20",20,"-27.526",111.942
