"","X","tss","roc"
"1",1,"0.9585",0.995940476190476
"2",48,"LQHPT",4
"3",3,"-27.518",62.391
"4",4,"-49.584",51.871
"5",5,"-19.916",7.868
"6",6,"-35.193",18.562
"7",7,"-29.64",31.882
"8",8,"-41.963",72.491
"9",9,"-14.839",1.857
"10",10,"-18.507",15.287
"11",11,"-19.486",24.828
"12",12,"-28.287",43.354
"13",13,"-22.679",13.567
"14",14,"-42.174",32.605
"15",15,"-33.776",13.347
"16",16,"-57.012",23.566
"17",17,"-16.842",28.021
"18",18,"-27.28",56.015
"19",19,"-29.165",38.212
"20",20,"-51.304",86.14
