"","X","tss","roc"
"1",1,"0.945283333333333",0.995904166666667
"2",32,"LQ",3
"3",3,"-43.872",61.353
"4",4,"-66.835",162.584
"5",5,"-16.66",42.863
"6",6,"-24.374",103.549
"7",7,"-37.912",184.264
"8",8,"-44.3",174.027
"9",9,"-12.897",14.051
"10",10,"-14.034",34.337
"11",11,"-18.875",46.703
"12",12,"-30.249",116.565
"13",13,"-37.886",24.228
"14",14,"-59.241",64.021
"15",15,"-52.98",31.421
"16",16,"-72.659",158.779
"17",17,"-28.667",28.932
"18",18,"-45.489",122.612
"19",19,"-44.326",101.155
"20",20,"-70.136",248.148
