"","X","tss","roc"
"1",1,"0.805261904761905",0.953566666666667
"2",38,"LQ",3.5
"3",3,"-41.304",-20.371
"4",4,"-68.854",-38.391
"5",5,"-19.31",2.394
"6",6,"-24.907",7.324
"7",7,"-35.849",-9.194
"8",8,"-40.066",2.984
"9",9,"-16.821",-1.664
"10",10,"-25.915",-7.785
"11",11,"-28.594",-9.918
"12",12,"-42.657",-19.223
"13",13,"-39.597",-30.777
"14",14,"-64.959",-46.173
"15",15,"-57.353",-45.13
"16",16,"-71.717",-49.776
"17",17,"-27.401",-0.822
"18",18,"-44.543",-16.329
"19",19,"-45.986",-18.196
"20",20,"-69.289",-24.517
