"","X","tss","roc"
"1",1,"0.9941",0.999131666666667
"2",28,"LQH",2.5
"3",3,"-77.332",-70.425
"4",4,"-94.569",-92.326
"5",5,"-41.795",16.411
"6",6,"-27.214",76.682
"7",7,"-76.387",-5.608
"8",8,"-62.102",49.941
"9",9,"-24.911",14.758
"10",10,"-44.51",13.636
"11",11,"-52.007",6.021
"12",12,"-74.911",-19.185
"13",13,"-85.832",-75.561
"14",14,"-95.336",-90.732
"15",15,"-93.92",-86.128
"16",16,"-96.635",-85.478
"17",17,"-63.991",-25.089
"18",18,"-88.194",-64.876
"19",19,"-72.255",-39.433
"20",20,"-96.517",-73.318
