"","X","tss","roc"
"1",1,"0.9634",0.995181818181818
"2",42,"LQHPT",3.5
"3",3,"-60.955",-49.384
"4",4,"-72.233",-63.704
"5",5,"-20.024",-5.039
"6",6,"-35.696",-12.488
"7",7,"-52.361",-29.207
"8",8,"-50.529",-15.411
"9",9,"-10.514",-1.265
"10",10,"-12.902",-0.076
"11",11,"-20.133",-6.053
"12",12,"-30.243",-11.812
"13",13,"-39.154",-26.699
"14",14,"-63.006",-54.521
"15",15,"-59.658",-52.83
"16",16,"-73.367",-63.322
"17",17,"-29.96",-14.822
"18",18,"-50.66",-30.516
"19",19,"-43.593",-22.881
"20",20,"-69.299",-48.871
