"","X","tss","roc"
"1",1,"0.841242424242424",0.976678787878788
"2",20,"LQ",2
"3",3,"-35.83",20.159
"4",4,"-40.643",39.564
"5",5,"-19.29",29.619
"6",6,"-21.417",33.615
"7",7,"-27.485",25.477
"8",8,"-33.255",34.863
"9",9,"-22.231",7.54
"10",10,"-29.266",7.357
"11",11,"-28.52",7.961
"12",12,"-38.279",11.438
"13",13,"-34.046",0.729
"14",14,"-44.507",-1.584
"15",15,"-37.94",12.527
"16",16,"-48.187",15.634
"17",17,"-27.326",18.829
"18",18,"-36.535",29.67
"19",19,"-35.036",31.23
"20",201,"-46.176",50.918
