"","X","tss","roc"
"1",1,"0.9736",0.9978625
"2",36,"LQHPT",3
"3",3,"-76.282",-13.027
"4",4,"-96.889",-77.692
"5",5,"-42.991",-14.5
"6",6,"-54.101",6.983
"7",7,"-75.889",-28.619
"8",8,"-80.891",-8.939
"9",9,"-31.044",-6.437
"10",10,"-39.614",3.949
"11",11,"-43.474",-7.656
"12",12,"-62.836",-10.17
"13",13,"-69.134",-34.345
"14",14,"-91.163",-80.295
"15",15,"-82.707",-63.128
"16",16,"-94.782",-78.771
"17",17,"-57.745",-4.139
"18",18,"-78.885",-9.789
"19",19,"-77.946",-20.785
"20",20,"-95.074",-69.21
