"","X","tss","roc"
"1",1,"0.878762962962963",0.968505555555556
"2",14,"LQ",1.5
"3",3,"-5.643",75.84
"4",4,"-14.154",106.443
"5",5,"-1.828",45.945
"6",6,"-10.299",41.049
"7",7,"-7.537",78.522
"8",8,"-8.631",116.782
"9",9,"-2.388",39.154
"10",10,"-0.854",65.422
"11",11,"-0.707",77.321
"12",12,"-1.934",107.484
"13",13,"-9.819",26.774
"14",141,"-2.455",81.27
"15",15,"-3.215",54.082
"16",16,"-13.1",91.355
"17",17,"-2.481",76.454
"18",18,"-5.43",96.291
"19",19,"-4.322",100.48
"20",20,"-8.791",155.67
