"","X","tss","roc"
"1",1,"0.82265",0.96848359375
"2",8,"LQ",1
"3",3,"-51.602",-46.891
"4",4,"-69.685",-68.775
"5",5,"-16.861",-2.552
"6",6,"-36.424",-27.858
"7",7,"-40.633",-32.854
"8",81,"-56.258",-53.584
"9",9,"-21.857",-13.332
"10",10,"-32.935",-27.641
"11",11,"-33.831",-28.903
"12",12,"-50.448",-48.534
"13",13,"-27.722",-16.44
"14",14,"-49.348",-40.714
"15",15,"-42.004",-34.252
"16",16,"-65.341",-62.544
"17",17,"-32.148",-24.803
"18",18,"-49.213",-46.104
"19",19,"-51.941",-47.964
"20",20,"-65.015",-63.508
