"","X","tss","roc"
"1",1,"0.9865",0.999516666666667
"2",42,"LQHPT",3.5
"3",3,"-46.042",-38.042
"4",4,"-52.887",-34.678
"5",5,"-28.502",6.059
"6",6,"-41.69",-4.151
"7",7,"-42.845",-4.803
"8",8,"-49.69",8.117
"9",9,"-33.054",-25.523
"10",10,"-39.347",-30.008
"11",11,"-39.314",-31.113
"12",12,"-51.264",-36.703
"13",13,"-46.192",-38.008
"14",14,"-51.063",-36.854
"15",15,"-53.155",-42.494
"16",16,"-61.473",-42.444
"17",17,"-45.105",-28.201
"18",18,"-50.711",-27.933
"19",19,"-53.975",-28.167
"20",20,"-60.134",-24.636
