"","X","tss","roc"
"1",1,"0.913726229508197",0.986647540983607
"2",20,"LQ",2
"3",3,"-55.816",11.277
"4",4,"-72.572",-18.321
"5",5,"-21.878",10.993
"6",6,"-50.125",-25.4
"7",7,"-28.424",16.044
"8",8,"-58.307",-25.471
"9",9,"-13.838",78.157
"10",10,"-25.187",95.197
"11",11,"-30.452",47.101
"12",12,"-33.084",79.118
"13",13,"-33.084",13.447
"14",14,"-66.133",-41.658
"15",15,"-73.746",-33.227
"16",16,"-61.295",13.91
"17",17,"-41.836",5.692
"18",18,"-49.698",69.904
"19",19,"-45.073",39.239
"20",201,"-74.92",41.942
