"","X","tss","roc"
"1",1,"0.902217948717949",0.982125641025641
"2",8,"LQ",1
"3",3,"-62.145",-62.071
"4",4,"-77.053",-76.854
"5",5,"-32.728",-31.01
"6",6,"-45.595",-44.973
"7",7,"-51.568",-50.747
"8",81,"-71.603",-71.503
"9",9,"-31.185",-30.488
"10",10,"-53.235",-53.136
"11",11,"-45.595",-45.396
"12",12,"-60.304",-60.254
"13",13,"-37.68",-36.336
"14",14,"-66.103",-66.053
"15",15,"-59.233",-59.034
"16",16,"-70.557",-70.508
"17",17,"-49.253",-49.129
"18",18,"-67.446",-67.397
"19",19,"-65.754",-65.704
"20",20,"-79.393",-79.318
