"","X","tss","roc"
"1",1,"0.9282375",0.9891296875
"2",38,"LQ",3.5
"3",3,"-37.413",-33.014
"4",4,"-48.296",-42.937
"5",5,"-23.685",-20.311
"6",6,"-30.268",-24.711
"7",7,"-32.054",-26.398
"8",8,"-40.721",-31.426
"9",9,"-18.69",-11.115
"10",10,"-21.436",-12.901
"11",11,"-23.619",-15.779
"12",12,"-38.042",-31.36
"13",13,"-37.777",-35.031
"14",14,"-43.698",-37.413
"15",15,"-41.515",-34.965
"16",16,"-51.968",-48.363
"17",17,"-38.306",-32.947
"18",18,"-43.202",-38.273
"19",19,"-47.866",-42.607
"20",20,"-55.111",-50.017
