"","X","tss","roc"
"1",1,"0.792483832335329",0.939894311377246
"2",27,"H",2.5
"3",3,"-0.534",45.447
"4",4,"-0.263",77.58
"5",5,"-3.189",13.964
"6",6,"-5.054",24.768
"7",7,"-1.346",38.381
"8",8,"-6.188",54.414
"9",9,"-1.617",15.076
"10",10,"-0.366",26.874
"11",11,"-0.015",36.881
"12",12,"-0.102",61.766
"13",13,"-5.223",11.726
"14",14,"-3.511",50.347
"15",15,"-4.221",34.109
"16",16,"-1.587",73.725
"17",17,"-0.007",41.928
"18",18,"-0.11",63.141
"19",19,"-0.059",66.732
"20",20,"-0.029",102.538
