"","X","tss","roc"
"1",1,"0.8716",0.968845
"2",26,"LQ",2.5
"3",3,"-62.66",-55.265
"4",4,"-70.956",-59.737
"5",5,"-45.676",-35.138
"6",6,"-52.108",-39.88
"7",7,"-55.688",-42.965
"8",8,"-67.114",-52.369
"9",9,"-42.29",-38.011
"10",10,"-48.212",-44.334
"11",11,"-53.238",-51.067
"12",12,"-65.749",-60.93
"13",13,"-50.369",-44.271
"14",14,"-66.285",-57.503
"15",15,"-61.223",-52.914
"16",16,"-71.564",-61.489
"17",17,"-56.269",-49.707
"18",18,"-66.114",-55.711
"19",19,"-67.285",-57.084
"20",20,"-76.184",-61.484
