"","X","tss","roc"
"1",1,"0.6728",0.905239583333333
"2",14,"LQ",1.5
"3",3,"-7.375",184.039
"4",4,"-17.091",261.546
"5",5,"-9.893",56.13
"6",6,"-11.226",116.955
"7",7,"-10.641",100.953
"8",8,"-16.07",208.26
"9",9,"-10.069",48.496
"10",10,"-15.077",81.508
"11",11,"-13.607",71.629
"12",12,"-18.315",135.76
"13",13,"-15.73",57.314
"14",141,"-16.546",194.829
"15",15,"-15.73",118.656
"16",16,"-16.043",270.744
"17",17,"-14.968",65.832
"18",18,"-14.859",128.276
"19",19,"-16.737",133.229
"20",20,"-17.417",364.308
