"","X","tss","roc"
"1",1,"0.979953623188406",0.998367753623188
"2",28,"LQH",2.5
"3",3,"-48.526",-40.607
"4",4,"-65.571",-58.298
"5",5,"-32.8",-4.971
"6",6,"-32.294",5.476
"7",7,"-49.172",-6.375
"8",8,"-47.964",-2.022
"9",9,"-18.057",-1.91
"10",10,"-21.258",-3.005
"11",11,"-23.083",-2.696
"12",12,"-35.833",-19.629
"13",13,"-45.97",-33.305
"14",14,"-58.691",-45.549
"15",15,"-59.899",-43.246
"16",16,"-67.79",-49.312
"17",17,"-29.037",3.37
"18",18,"-39.68",-11.429
"19",19,"-38.051",0.253
"20",20,"-68.997",-35.973
