"","X","tss","roc"
"1",1,"0.963242857142857",0.99506875
"2",14,"LQ",1.5
"3",3,"-24.357",4.06
"4",4,"-40.392",-24.899
"5",5,"-29.702",17.118
"6",6,"-26.861",-12.111
"7",7,"-46.076",-42.016
"8",8,"-44.181",-33.694
"9",9,"-21.989",-18.539
"10",10,"-39.175",-35.927
"11",11,"-37.754",-34.032
"12",12,"-55.413",-53.518
"13",13,"-32.206",-25.71
"14",141,"-51.962",-44.79
"15",15,"-45.264",-40.257
"16",16,"-52.03",-42.287
"17",17,"-33.965",-29.635
"18",18,"-41.746",-30.379
"19",19,"-39.445",-27.47
"20",20,"-51.421",-37.28
